스크립트 넘버,랜덤 이벤트 넘버,캐릭터 고유값,캐릭터의 대사,캐릭터의 감정,이름표 사용 여부,선택지 번호,스킵라인,시트설명,,,,,,,,,,,,,,,,,,
1069,103,Comsoon,"꿀꺽, 꿀꺽…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1070,103,Comsoon,엄청 맛있다…!,glad,TRUE,,,,,,,,,,,,,,,,,,,,,
1071,103,StudentA,그치? 카페인 음료수랑 조합한 거라 잠도 잘 깨.,none,TRUE,,,,,,,,,,,,,,,,,,,,,
1072,103,Comsoon,"응! 잠도 다 깬 것 같아.
고마워!",glad,TRUE,,,,,,,,,,,,,,,,,,,,,
1073,103,Player,(그날 밤),none,FALSE,,,,,,,,,,,,,,,,,,,,,
1074,103,Comsoon,…,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1075,103,Comsoon,……,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1076,103,Comsoon,잠이 안 와…,sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1077,103,Player,"특별한 음료수를 마시자 잠이 완전히 깼다!
수업에 집중할 수 있었지만, 밤에 잠이 오지 않아 밤새 뒤척여야만 했다…",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1078,103,StudentA,"그래? 맛있는데… 싫으면 어쩔 수 없지.
내가 마신다?",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1079,103,Comsoon,응… 생각해줬는데 미안.,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1080,103,StudentA,"아냐 뭘, 나도 졸려서 이거 마시려고 했어.",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1081,103,Comsoon,"역시 뭔가 불안하다!
새로운 경험은 다음으로 미루기로 했다…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1082,104,Professor,"이번 과제는 간단한 프로그램을 작성…
… 자신의 취미가 출력되도록 해야 합니다.",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1083,104,Professor,다음 수업 전까지 완성할 수 있도록 하세요.,none,TRUE,,,,,,,,,,,,,,,,,,,,,
1084,104,StudentA,또 과제야?,none,TRUE,,,,,,,,,,,,,,,,,,,,,
1085,104,Comsoon,그러게… 수업 때마다 과제가 생기네…,sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1086,104,Player,(그날 밤),none,FALSE,,,,,,,,,,,,,,,,,,,,,
1087,104,Comsoon,"그러니까, 이걸 이렇게 짜면…
음, 코드는 완성했고…!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1088,104,Comsoon,"취미를 출력하라고?
취미… 내 취미라고 할 만한 게…",basic,TRUE,4,,,,,,,,,,,,,,,,,,,,
1089,104,Player,취미에 게임을 적었다!,none,FALSE,,,,,,,,,,,,,,,,,,,,,
1090,104,Player,취미에 운동을 적었다!,none,FALSE,,,,,,,,,,,,,,,,,,,,,
1091,105,Comsoon,으… 오전 수업 끝!,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1092,105,Comsoon,"오후 수업까지는 아직 좀 남았으니까,
이 틈에 빨리 밥 먹어야지.",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1093,105,Comsoon,그런데… 뭘 먹지?,basic,TRUE,5,,,,,,,,,,,,,,,,,,,,
1094,105,Comsoon,"‘이터널 아카이브’ 콜라보가 오늘부터였지!
늦으면 전부 소진될텐데!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1095,105,Player,"혼자 햄버거를 먹고,
콜라보 굿즈까지 챙길 수 있었다!",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1096,105,Comsoon,수업 끝나면 같이 먹자고 연락해야겠다.,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1097,105,StudentA,컴순아! 오래 기다렸어?,none,TRUE,,,,,,,,,,,,,,,,,,,,,
1098,105,Comsoon,"아냐, 나도 방금 끝났는데.
오후 수업까지 시간 남지? 같이 밥 먹자.",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1099,105,StudentA,"앗, 나 급한 과제가 있어서, 
학식 빠르게 먹으려고 했는데. 학식도 괜찮아?",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1100,105,Comsoon,"돈 아끼고 좋지 뭐.
배고픈데 빨리 먹으러 가자!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1101,105,Player,친구를 기다렸다가 함께 식사를 마쳤다!,none,FALSE,,,,,,,,,,,,,,,,,,,,,
1102,106,Comsoon,"오늘 수업 끝!
이제 운동 가야 하는데…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1103,106,Comsoon,으으… 너무너무 귀찮아…,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1104,106,Comsoon,"킁킁, 이 냄새는 분명히…
떡볶이!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1105,106,Comsoon,"와아, 맛있겠다…!
하지만 오늘은 운동 가는 날인데…!",basic,TRUE,6,,,,,,,,,,,,,,,,,,,,
1106,106,Comsoon,떡볶이 1인분 주세요!,glad,TRUE,,,,,,,,,,,,,,,,,,,,,
1107,106,Comsoon,헤헤… 너무너무 맛있다…,glad,TRUE,,,,,,,,,,,,,,,,,,,,,
1108,106,Player,"떡볶이는 정말 맛있었다.
운동은… 내일부터 다시 열심히 하는 걸로!",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1109,106,Comsoon,"우으… 가자… 가야지, 운동……",sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1110,106,Player,"떡볶이의 유혹을 이겨내고 운동을 했다!
눈앞에 계속 아른거리는 것만 같다…",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1111,107,Comsoon,"어디 보자, 오늘 과제가…
음, 한결같이 많네, 정말……",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1112,107,Comsoon,"앗, 동아리 톡방 알림이잖아.",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1113,107,Comsoon,"갑자기 모임? 지금?
회장 선배가 쏜다고?",basic,TRUE,7,,,,,,,,,,,,,,,,,,,,
1114,107,StudentB,어? 컴순아! 너도 왔구나?,none,TRUE,,,,,,,,,,,,,,,,,,,,,
1115,107,Comsoon,네! 안녕하세요 선배님!,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1116,107,StudentA,"컴순 하이~
여기 앉아!",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1117,107,Player,…,none,FALSE,,,,,,,,,,,,,,,,,,,,,
1118,107,StudentB,"… 그럼 내가 쏘는 거니까, 다들 맛있게 먹어!",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1119,107,Player,"모임에서 사람들과 즐거운 시간을 보냈다!
뭔가 잊은 것 같긴 하지만…",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1120,107,Comsoon,과제… 해야겠지…,sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1121,107,Player,(다음 날),none,FALSE,,,,,,,,,,,,,,,,,,,,,
1122,107,StudentA,"컴순 하이!
너 어제 모임 왜 안 나왔어? 연락 못 본 거야?",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1123,107,Comsoon,"응? 아, 과제 때문에…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1124,107,StudentA,"그렇구나.
아쉽다, 어제 재미있었는데.",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1125,107,Player,"모임에 가지 않고 과제를 성실히 마쳤다!
아쉽지만 다음에 또 기회가 있기를.",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1126,108,Comsoon,"내일 자격증 시험을 봐야 하는데,
떨려서 아무것도 못하겠어…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1127,108,Comsoon,남은 시간동안 뭘 해야 하지?,basic,TRUE,8,,,,,,,,,,,,,,,,,,,,
1128,108,Comsoon,역시 마지막으로 다시 한 번 복습해 봐야겠어…!,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1129,108,Player,"마음을 다잡고 복습을 끝마쳤다!
왠지 내일 시험은 잘 볼 것만 같다!",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1130,108,Comsoon,"지금까지 충분히 노력했으니까,
내일 컨디션을 위해서 오늘은 일찍 자야겠다!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1131,108,Player,"마음을 다잡고 일찍 잠자리에 들었다!
내일 컨디션은 최상일 것만 같다.",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1132,109,Comsoon,"앗, … 비 오잖아!
우산 안 가져왔는데 어쩌지…",sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1133,109,Comsoon,편의점! 편의점에 우산 파니까!,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1134,109,Player,(잠시 후),none,FALSE,,,,,,,,,,,,,,,,,,,,,
1135,109, Employee,"… 안 그래도 오늘 갑자기 비가 와서,
벌써 다 팔리고 없어요. 죄송합니다.",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1136,109,Comsoon,"아… 정말요?
알겠습니다…",sad,TRUE,9,,,,,,,,,,,,,,,,,,,,
1137,109,Comsoon,"으으으음… 뾰족한 수 없나…
뾰족한 수… 뭉툭한 수…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1138,109,Comsoon,"맞다!
과에서 학생들에게 우산을 빌려준다고 했던 것 같은데?",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1139,109,Comsoon,"그러니까, 뭐더라…
과 사무실에 가서…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1140,109,Player,"기억했던 대로 과에서 우산을 빌려주었고,
다행히 우산을 쓰고 갈 수 있었다!",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1141,109,Comsoon,여보세요?,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1142,109,StudentA,"여보세요? 컴순아?
무슨 일이야?",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1143,109,Comsoon,"아! 별 건 아니고, 내가 오늘 우산을 안 가져와서…
이따가 역 앞까지만 같이 갈 수 있을까?",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1144,109,StudentA,"우산? 우산이면 난 오늘 갖고 온 게 있어서,
내 사물함에서 예비 우산 꺼내 쓰고 나중에 돌려줘.",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1145,109,Comsoon,"진짜? 정말?
고마워! 너밖에 없어!",glad,TRUE,,,,,,,,,,,,,,,,,,,,,
1146,109,Player,"친구의 도움으로 우산을 쓰고 집에 갈 수 있게 되었다!
이 감사는 나중에 보답하기로 했다.",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1147,110,Comsoon,"이번 달 용돈이 모자랄 것 같아…
알바라도 해 볼까?",basic,TRUE,10,,,,,,,,,,,,,,,,,,,,
1148,110,Player,"주말동안 만화방에서 단기 알바를 했다!
제법 한산해 남는 시간에는 만화책도 볼 수 있었다.",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1149,110,Player,"주말동안 카페에서 단기 알바를 했다!
짧은 시간이지만 여러 사람들과 함께 일할 수 있었다.",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1150,111,Comsoon,"와, 이 영화 시리즈 신작이 나왔잖아!
예전에 엄청 재미있게 봤는데.",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1151,111,Comsoon,"이번 주말에 보러 가야겠다!
그런데…",basic,TRUE,11,,,,,,,,,,,,,,,,,,,,
1152,111,Comsoon,"이거 그 때 그 친구도 보고 싶다 했던 거였지?
한 번 물어봐야겠다.",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1153,111,Player,"친구 역시 주말에 영화를 보러 갈 계획이라고 한다!
함께 영화관에서 영화를 보기로 약속을 잡았다.",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1154,111,Comsoon,"역시 영화관도 멀고 귀찮으니까,
그냥 집에서 구매해서 노트북으로 봐야겠다.",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1155,111,Player,"침대에 누워 뒹굴거리면서 영화를 봤다!
영화는 아주 감명깊었다.",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1156,112,Comsoon,조교님! 마라탕 먹으러 가실래요?,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1157,112,Comsoon,"… 안 드셔보셨다고요?
한 번도요? 진짜요?",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1158,112,Comsoon,"저 마라탕 고수예요!
저만 믿으세요!",glad,TRUE,,,,,,,,,,,,,,,,,,,,,
1159,112,Player,"같이 양고기, 소고기, 청경채, 숙주, 배추, 목이버섯, 옥수수면, 뉴진면, 분모자, 땅콩소스를 잔뜩 넣은 마라탕 3인분과 꿔바로우까지 해치웠다…",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1160,112,Player,몸무게가 조금 늘은 것 같다…!,none,FALSE,,,,,,,,,,,,,,,,,,,,,
1161,113,Comsoon,"안녕하세요 조교님!
오늘 학식 제육이래요!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1162,113,Comsoon,"네? 네, 맞죠, 이번 주 내내 학식 먹는 중이에요!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1163,113,Comsoon,"아, 그게… 누가 그러더라고요.
걸러야 하는 건 캐릭터가 아니라 끼니라고요, 헤헤…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1164,113,Comsoon,"그런 게 아니라요!
다음 픽업은 진짜 꼭 뽑아야 되거든요…!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1165,113,Comsoon,이 참에 다이어트도 하고 완전 럭키잖아요!,glad,TRUE,,,,,,,,,,,,,,,,,,,,,
1166,113,Player,그렇게 말하는 컴순의 식판에는 밥이 산더미처럼 쌓여 있었다.,none,FALSE,,,,,,,,,,,,,,,,,,,,,
1167,113,Player,"하지만 그렇게 말하는 컴순의 눈동자가 아주 빛나고 있었기 때문에, 딱히 문제삼지는 않기로 했다!",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1168,114,Comsoon,큰일 났어요!!!,sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1169,114,Comsoon,"지갑을 잃어버린 것 같아요…
분명히 오늘 아침까지는 분명히 있었는데…!",sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1170,114,Comsoon,"가방도 뒤져보고, 강의실도 전부 찾아 봤어요…
나 어떡해…",sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1171,114,Comsoon,"…… 아, 맞다! 분실물 센터!
왜 그 생각을 못했지? 진짜 바본가봐!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1172,114,Player,(잠시 후),none,FALSE,,,,,,,,,,,,,,,,,,,,,
1173,114, Employee,"네, 오늘 지갑 하나 들어왔는데요…
김컴순 학생인가요?",none,TRUE,,,,,,,,,,,,,,,,,,,,,
1174,114,Comsoon,"네, 제 거예요!
너무 다행이다… 감사합니다!",glad,TRUE,,,,,,,,,,,,,,,,,,,,,
1175,114,Player,"지갑을 무사히 되찾은 컴순은 안도의 한숨을 내쉬었다.
세상은 아직 따뜻한 것 같다…!",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1176,115,Comsoon,"강의실이… 여기가 맞는데?
왜 이렇게 조용하지?",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1177,115,Comsoon,"오늘 휴강인가…?
그런 얘기는 못 들었는데…",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1178,115,Comsoon,"앗! 뭐야, 강의실 변경?!
교수님 미워! 이걸 수업 15분 전에 올려주면 어떡해요!",sad,TRUE,15,,,,,,,,,,,,,,,,,,,,
1179,115,Comsoon,"R동은 너무 멀어!
어쩔 수 없이 오늘은 쉬어야겠다…!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1180,115,Player,"솔직히 말하자면 이건 교수님 잘못인 것 같다.
양심의 가책 없이 잘 쉬었다!",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1181,115,Comsoon,"헉, 헉…
세이프…!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1182,115,Player,"교수님은 수업 끝에 출석체크를 하셨다.
빠졌으면 큰일 날 뻔했다…!",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1183,116,Comsoon,조교님! 재미있는 거 보여드릴까요?,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1184,116,Comsoon,"과자 몇 개를 택배로 주문했는데요…
테이프가 너무 꼼꼼하게 붙어 있어서 커터칼로 그었거든요?",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1185,116,Comsoon,"이 사진 좀 보세요!
바보같이 과자까지 다 그어버린 거 있죠!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1186,116,Comsoon,완전 망했어요…!,sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1187,116,Comsoon,…응? 인터넷에라도 올려보자고요?,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1188,116,Player,"컴순은 인스타에 베인 과자 사진을 올렸다.
과자는 먹지 못했지만 많은 사람들이 보고 같이 웃어 주었다!",none,FALSE,,,,,,,,,,,,,,,,,,,,,
1189,117,Comsoon,저 열람실에서 완전 재미있는 거 봤어요!,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1190,117,Comsoon,"오늘 수업 내용 복습하려고 열람실에 갔는데요,
제 자리에 ‘예약석’이라고 써 있는 거 있죠!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1191,117,Comsoon,"네, 진짜로요!
종이에 ‘예약석’이라고 써서 떡하니 붙여 놨다니까요?",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1192,117,Comsoon,"그래서 저도 그 옆에 ‘취소됨’이라고 적어 줬어요!
예약이 되면 취소도 되는 거지!",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1193,117,Comsoon,"글씨체는 동글동글 귀여웠는데…
누구였을까요?",basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1194,117,Comsoon,졸렸는데 덕분에 잠도 다 깼어요!,basic,TRUE,,,,,,,,,,,,,,,,,,,,,
1195,117,Player,열람실 알박기는 화가 나지만 컴순은 덕분에 졸지 않고 공부할 수 있었다고 한다!,none,FALSE,,,,,,,,,,,,,,,,,,,,,
1196,118,Comsoon,"큰일났어요, 저 공부 진짜 하나도 못했는데…!",sad,TRUE,,,,,,,,,,,,,,,,,,,,,
1197,118,Comsoon,"조교님, 치타가 울고 있어요…
당장 내일이 쪽지 시험인데!",sad,TRUE,,,,,,,,,,,,,,,,,,,,,
